Date,Time,Lat,Long,Type,CleanLong
5/1/21,01:00 - 02:00,40.45,-79.884,SG,-79.884
5/1/21,01:00 - 02:00,40.418,-79.993,MG,-79.993
5/1/21,02:00 - 03:00,40.455,-79.901,SG,-79.901
5/1/21,03:00 - 04:00,40.461,-80.073,SG,-80.073
5/1/21,03:00 - 04:00,40.455,-79.87,SG,-79.87
5/1/21,07:00 - 08:00,40.458,-79.897,SG,-79.897
5/1/21,09:00 - 10:00,40.454,-79.895,SG,-79.895
5/1/21,15:00 - 16:00,40.458,-79.903,MG,-79.903
5/1/21,16:00 - 17:00,40.456,-80.023,MG,-80.023
5/1/21,18:00 - 19:00,40.403,-79.942,SG,-79.942
5/1/21,20:00 - 21:00,40.457,-80.075,MG,-80.075
5/2/21,02:00 - 03:00,40.457,-79.904,MG,-79.904
5/2/21,02:00 - 03:00,40.455,-79.966,MG,-79.966
5/2/21,02:00 - 03:00,40.456,-79.968,MG,-79.968
5/2/21,02:00 - 03:00,40.454,-80.063,SG,-80.063
5/2/21,02:00 - 03:00,40.454,-80.063,MG,-80.063
5/2/21,02:00 - 03:00,40.454,-79.891,MG,-79.891
5/2/21,02:00 - 03:00,40.488,-80.014,SG,-80.014
5/2/21,02:00 - 03:00,40.45,-79.886,SG,-79.886
5/2/21,03:00 - 04:00,40.468,-79.994,MG,-79.994
5/2/21,04:00 - 05:00,40.457,-80.057,SG,-80.057
5/2/21,20:00 - 21:00,40.462,-79.911,PG,-79.911
5/2/21,20:00 - 21:00,40.453,-79.892,SG,-79.892
5/2/21,22:00 - 23:00,40.458,-79.893,MG,-79.893
5/2/21,22:00 - 23:00,40.442,-79.989,MG,-79.989
5/2/21,23:00 - 00:00,40.429,-79.985,MG,-79.985
5/3/21,01:00 - 02:00,40.459,-80.017,PG,-80.017
5/3/21,01:00 - 02:00,40.417,-79.981,SG,-79.981
5/3/21,01:00 - 02:00,40.429,-79.988,MG,-79.988
5/3/21,03:00 - 04:00,40.439,-79.958,SG,-79.958
5/3/21,10:00 - 11:00,40.405,-79.938,SG,-79.938
5/3/21,22:00 - 23:00,40.473,-80.01,SG,-80.01
5/3/21,22:00 - 23:00,40.473,-80.011,SG,-80.011
5/3/21,22:00 - 23:00,40.415,-80.006,MG,-80.006
5/4/21,16:00 - 17:00,40.452,-79.888,PG,-79.888
5/4/21,17:00 - 18:00,40.469,-80.005,MG,-80.005
5/4/21,19:00 - 20:00,40.447,-79.973,PG,-79.973
5/4/21,20:00 - 21:00,40.45,-79.875,SG,-79.875
5/4/21,21:00 - 22:00,40.461,-80.007,SG,-80.007
5/4/21,22:00 - 23:00,40.453,-79.894,SG,-79.894
5/4/21,23:00 - 00:00,40.463,-79.9,MG,-79.9
5/4/21,23:00 - 00:00,40.426,-79.995,SG,-79.995
5/5/21,00:00 - 01:00,40.413,-79.993,SG,-79.993
5/5/21,01:00 - 02:00,40.409,-79.992,MG,-79.992
5/5/21,10:00 - 11:00,40.475,-80.005,PG,-80.005
5/5/21,11:00 - 12:00,40.468,-79.941,MG,-79.941
5/5/21,19:00 - 20:00,40.45,-79.878,MG,-79.878
5/5/21,21:00 - 22:00,40.413,-79.99,SG,-79.99
5/5/21,23:00 - 00:00,40.467,-79.995,MG,-79.995
5/6/21,01:00 - 02:00,40.455,-79.886,SG,-79.886
5/6/21,10:00 - 11:00,40.473,-80.002,MG,-80.002
5/6/21,13:00 - 14:00,40.47,-79.904,PG,-79.904
5/6/21,19:00 - 20:00,40.44,-79.975,MG,-79.975
5/7/21,22:00 - 23:00,40.476,-79.999,PG,-79.999
5/7/21,22:00 - 23:00,40.413,-79.992,MG,-79.992
5/7/21,23:00 - 00:00,40.454,-80.051,MG,-80.051
5/7/21,23:00 - 00:00,40.423,-79.998,SG,-79.998
5/8/21,02:00 - 03:00,40.456,-79.888,SG,-79.888
5/8/21,02:00 - 03:00,40.457,-79.904,MG,-79.904
5/8/21,03:00 - 04:00,40.422,-79.997,SG,-79.997
5/8/21,04:00 - 05:00,40.458,-79.888,MG,-79.888
5/8/21,06:00 - 07:00,40.454,-80.022,MG,-80.022
5/8/21,13:00 - 14:00,40.485,-80.036,PG,-80.036
5/8/21,13:00 - 14:00,40.477,-80,PG,-80
5/8/21,19:00 - 20:00,40.413,-79.996,MG,-79.996
5/8/21,20:00 - 21:00,40.454,-79.96,PG,-79.96
5/8/21,20:00 - 21:00,40.485,-80.036,PG,-80.036
5/8/21,22:00 - 23:00,40.418,-79.963,SG,-79.963
5/8/21,22:00 - 23:00,40.418,-79.963,SG,-79.963
5/8/21,22:00 - 23:00,40.418,-79.963,SG,-79.963
5/8/21,22:00 - 23:00,40.418,-79.963,SG,-79.963
5/8/21,22:00 - 23:00,40.465,-79.888,SG,-79.888
5/8/21,23:00 - 00:00,40.457,-80.023,MG,-80.023
